listings;url;guests; bedrooms; beds; bathrooms;room_type;price;host_name;reviews;stars;location;latitude;longitude
Republicii Apartament in Historical Center;https://www.airbnb.com.ro/rooms/18491494?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158084_NgsgDlbeyT7aeRoU&guests=1&adults=1;2;1;1;1;Entire home;140;Rodica;12;4.58;Brasov, Romania;4564343;255934
REPUBLICII RESIDENCE APARTAMENT;https://www.airbnb.com.ro/rooms/34697683?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588094066_WWLoJ%2FH7iuP5DFCD&guests=1&adults=1;4;2;2;1;Entire home;200;Cristina&Cristian;11;4.91;Brasov, Romania;45644;25593
REPUBLICII RESIDENCE BLUE ROOM;https://www.airbnb.com.ro/rooms/34728428?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158845_D0GAFiMeAO5KIjRD&guests=1&adults=1;2;1;1;1;Entire home;180;Cristina&Cristian;15;4.93;Brasov, Romania;45644;25593
REPUBLICII RESIDENCE DELUXE;https://www.airbnb.com.ro/rooms/34666288?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588081913_WDFp74DJdfmIKQet&guests=1&adults=1;4;2;2;1;Entire home;220;Cristina&Cristian;10;4.80;Brasov, Romania;45644;25593
REPUBLICII RESIDENCE PURPLE ROOM;https://www.airbnb.com.ro/rooms/34729022?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588162584_7iJQ7mLfBYKNCTPK&guests=1&adults=1;2;1;1;1;Entire home;175;Cristina&Cristian;15;4.93;Brasov, Romania;45644;25593
Republicii Rustic Apartament -in heart of old town;https://www.airbnb.com.ro/rooms/30458316?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588230454_05LNbR6tlChNxt6K&guests=1&adults=1;3;1;2;1;Entire home;240;Bogdan;14;5.0;Brasov, Romania;4564281;2559182
Residence Cina;https://www.airbnb.com.ro/rooms/36798969?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588244573_uw8AJYTrStKg2sxv&guests=1&adults=1;4;2;2;2;Private room in apartament;400;Florin Nicolae;1;0;Brasov, Romania;4564579;2559699
RIMI's flat;https://www.airbnb.com.ro/rooms/41906045?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588237194_WJL6GOLmUbKWq%2Bk0&guests=1&adults=1;6;1;3;1;Entire home;230;Anastasia;0;0;Brasov, Romania;45644;25592
Roma Resident;https://www.airbnb.com.ro/rooms/42552749?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588065407_ospP%2BPxStaQJi%2FVx&guests=1&adults=1;3;1;4;1;Entire home;150;Ovidiu;1;0;Brasov, Romania;4565123;2559771
Romantic Apartament near City Central;https://www.airbnb.com.ro/rooms/20230674?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588232524_T8%2BdB0SXDp2%2FpIOy;6;2;3;1;Entire home;159;Dana;48;4.88;Brasov, Romania;456524;2560895
Romantic Fireplace 1;https://www.airbnb.com.ro/rooms/32867905?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588234049_PoqBGJsBUD8MNNXp&guests=1&adults=1;4;1;2;1;Entire home;230;Iulia;17;4.88;Brasov, Romania;4564388;2560167
"""ROOM 21"" Rare Chromatherapy Relaxation Gem!";https://www.airbnb.com/rooms/39402434?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;2;1;1;1;Entire home;195;Tudor;40;;Brasov, Romania;4564108;2559251
Seasons-Top of the city;https://www.airbnb.com/rooms/40988311?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;2;1;1;1;Entire home;500;Vlad;1;0;Brasov, Romania;4563737;2556348
Secret boutique hostel;https://www.airbnb.com.ro/rooms/42561554?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158932_%2FJAmQTp3mAJEtLpK&guests=1&adults=1;8;1;14;1;Shared room in the apartment;73;Anca;1;0;Brasov, Romania;4564075;2558988
Sierra Apartament;https://www.airbnb.com.ro/rooms/14207704?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&previous_page_section_name=1000&federated_search_id=e1b36ccc-71a5-462d-a527-d5950af88034;5;1;3;1;Entire home;237;Sierra-Northstar;1;0;Brasov, Romania;456353913;255788552
Single Room in a Cozy House with Mountain scenary;https://www.airbnb.com.ro/rooms/41641927?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588146342_pdPDkpbq0rhOCytT&guests=1&adults=1;1;1;1;1;Entire home;79;David;3;5.0;Brasov, Romania;45618;25657
Smile 1;https://www.airbnb.com.ro/rooms/39863662?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588228804_U6VzWfxhY5ipBNx%2F&guests=1&adults=1;3;1;2;1;Entire home;131;Alex;15;5.0;Brasov, Romania;45638;25581
SPA 1 in Old Town;https://www.airbnb.com.ro/rooms/16414281?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588242629_%2BWDms6YwsBTcMbNT;4;1;2;1;Private room in apartament;232;Vlad;4;4.0;Brasov, Romania;45644791;25589811
Spacious and Quiet Apartament;https://www.airbnb.com.ro/rooms/39607146?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588245244_gFIdnQ0nLgXZTaEg&guests=1&adults=1;4;1;3;1;The whole apartment in residential complex;220;Bb;0;0;Brasov, Romania;4566485;2555916
Spacious 1 in the center! Everything nearby;https://www.airbnb.com.ro/rooms/34214315?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588081303_rJSiRP0nfP8L0X%2FR&guests=1&adults=1;4;1;2;1;Entire home;200;Mihai;55;4.96;Brasov, Romania;45643;25589
StayPlay;https://www.airbnb.com.ro/rooms/33850475?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588081259_LlxokMjyjICKguj%2B&guests=1&adults=1;4;1;2;1;Entire home;407;Gradinar;41;4.98;Brasov, Romania;45645;2560047
StayPlay2 Center Theater Brasov NEW;https://www.airbnb.com.ro/rooms/39989043?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158768_VLqrYFvKp5uDQmcR&guests=1&adults=1;4;1;2;1;Entire home;305;Gradinar;7;5.0;Brasov, Romania;45645;2560047
Stefania Apartament -  s2&3;https://www.airbnb.com.ro/rooms/42044963?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588235096_zGC%2FO0m1ODkBWd%2FA&guests=1&adults=1;4;2;2;1;Private room in apartament;207;Bianca&Robert;3;5.0;Brasov, Romania;4566603;2561073
Stefania Apartament-entire apartament;https://www.airbnb.com.ro/rooms/40827525?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588140835_eqNXWJEUZyutiyKw&guests=1&adults=1;8;3;4;1;Entire home;310;Bianca&Robert;55;4.60;Brasov, Romania;4566603;2561073
Stephanie Apartament;https://www.airbnb.com.ro/rooms/16131809?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588066962_nToHDqGYjRUQ%2BtM1&guests=1&adults=1;4;1;2;1;Entire home;140;Stefania;123;4.93;Brasov, Romania;45664;25607
1 APARTAMENT EMY;https://www.airbnb.com.ro/rooms/16863127?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588140704_3SkkBx%2BJY73a8Zst&guests=1&adults=1;2;1;1;1;Entire home;121;Emil;59;4.54;Brasov, Romania;45642;25594
1 Xenia;https://www.airbnb.com.ro/rooms/36922240?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&previous_page_section_name=1000&federated_search_id=79789f61-515f-4499-a673-6463fe2578c5;2;1;1;1;Entire home;169;Romina;9;5.0;Brasov, Romania;4567311;2560828
1Boutique;https://www.airbnb.com/rooms/27211509?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;2;1;1;1;Entire home;116;Alexandru;94;;Brasov, Romania;4564205;2558563
Sunny Apartment and a Terrace with View;https://www.airbnb.com/rooms/31844188?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;2;1;1;1;Entire home;148;Ana;85;4.76;Brasov, Romania;4565233;2560006
Sunrise Luxury Residence (5 min to the old center);https://www.airbnb.com.ro/rooms/plus/33992666?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588061390_F1QkdR4rC8ap5nVV&guests=1&adults=1;2;1;1;1;Entire home;109;Bogdan;13;4.97;Brasov, Romania;4563497;2563297
Sunrise Republicii Apartament (Brasov Old Central);https://www.airbnb.com.ro/rooms/34859265?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588242978_8dZlla2OEOyOv1vI&guests=1&adults=1;4;1;1;1;Entire home;350;Dana;6;5.0;Brasov, Romania;4564277;255924
Sunrise Republicii 1 (Brasov Old Center);https://www.airbnb.com.ro/rooms/39185076?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588093865_fsjrphjdV9CqXV5j&guests=1&adults=1;4;2;2;2;Entire home;179;Dana;15;4.40;Brasov, Romania;4564378;2559159
Tampa Central Apartament;https://www.airbnb.com.ro/rooms/39244164?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588060920_meliHxf%2B52Z%2FMdYa&guests=1&adults=1;4;1;1;1;Entire home;120;Diana;6;4.60;Brasov, Romania;4564073;2559051
Tampa Central 1;https://www.airbnb.com.ro/rooms/39268729?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588145937_Kr7APwPmjrI61Eqk&guests=1&adults=1;2;1;1;1;Entire home;120;Diana;1;0;Brasov, Romania;4564158;2559186
Tampa Residence Old Town, next to The Black Church;https://www.airbnb.com.ro/rooms/10222100?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588246332_%2BFhyZE0OVvi7FzLL&guests=1&adults=1;6;2;3;1;Entire home;300;Elena;109;4.90;Brasov, Romania;4564158;2559186
Tania apartament Coresi mall;https://www.airbnb.com.ro/rooms/37117886?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588227869_U2UahFcciWAcH4aY&guests=1&adults=1;4;1;1;1;Entire home;200;Lucian;4;5.0;Brasov, Romania;456697;2561689
The Arch 1 - Awesome Old Town Historical Gem;https://www.airbnb.com.ro/rooms/24695530?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588234224_G2Cn5s7vkEwRYn6A&guests=1&adults=1;3;1;2;1;Entire home;237;Tavi;43;5.0;Brasov, Romania;4564165;2559252
The Attic in Main Square;https://www.airbnb.com/rooms/4156240?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&source_impression_id=p3_1588002361_V6Bv%2F1zKrQmKKD%2Bo&guests=1&adults=1;4;1;2;1;Entire home;271;Vlad;261;4.51;Brasov, Romania;45642;25588
The Cube Apt¸Tampa Mt View from Balcony¸Old Town;https://www.airbnb.com/rooms/35380991?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;4;1;2;1;Entire home;223;Claudia;29;5.0;Brasov, Romania;45644;25589
The Dream - Charming landscape above the old town;https://www.airbnb.com.ro/rooms/37550165?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588246908_qlJ8SpgnUzhYnhof&guests=1&adults=1;4;1;1;1;The whole apartment in residential complex;339;Denise;1;0;Brasov, Romania;4564607;2558125
The house with the view;https://www.airbnb.com.ro/rooms/37168692?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588061162_SlWkUcwbPAQJOAor&guests=1&adults=1;4;1;1;1;Entire home;150;Stefania;35;4.89;Brasov, Romania;4563563;2557464
Tiny Li'l Cuckoo Nest;https://www.airbnb.com/rooms/41076195?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588065557_Bolk8MA4H0UQnA4B&guests=1&adults=1&locale=en&_set_bev_on_new_domain=1587986334_N2M5MmRiYTQwZTlj;3;1;2;1;Entire home;179;Vlad;9;5.0;Brasov, Romania;4564162;2559389
Tourists  Atelier;https://www.airbnb.com/rooms/15460792?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;6;3;4;1;Entire home;318;Adina;367;;Brasov, Romania;4565274;255933
Transilvania Mansion;https://www.airbnb.com.ro/rooms/41209956?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588078098_OJmzzfmThPbGin4v&guests=1&adults=1;16;8;11;8;Entire home;2.200;Antonia;2;0;Brasov, Romania;456.905;2556213
Travellers Getaway 1;https://www.airbnb.com.ro/rooms/39715182?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588140597_S9dqDL8cVD1VY8jd&guests=1&adults=1;2;1;1;1;Entire home;150;Alexandra;21;4.90;Brasov, Romania;4564073;2557768
Travels Home o vacanta de vis;https://www.airbnb.com.ro/s/Brasov--Bra%C8%99ov--Ruman%C3%ADa/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&place_id=ChIJ8RSiKoZbs0ARDx45VO_y9Ww&source=structured_search_input_header&search_type=pagination&map_toggle=false&federated_search_session_id=a952fa8d-a49b-41df-a2a4-e958ddce6c96&section_offset=4&items_offset=80&query=Bra%C8%99ov%2C%20Rom%C3%A2nia&checkin=2020-07-04&checkout=2020-07-05;4;1;2;1;Entire home;180;Aconstantinesei;11;5.0;Brasov, Romania;456585;2558409
Tu Casa;https://www.airbnb.com.ro/rooms/41988509?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588059475_p8UbT5KlMmLB5Lgl;2;1;1;1;Entire home;110;Ovidiu;0;0;Brasov, Romania;4566047;2560783
Tudor Central 1;https://www.airbnb.com.ro/rooms/35536479?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588140474_GLu1%2FxifCBa4HKYJ&guests=1&adults=1;2;1;1;1;Entire home;144;Valentina;3;4.33;Brasov, Romania;456501;2559967
Urban Apartament;https://www.airbnb.com.ro/rooms/40296315?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588093820_KGqV0GLLIsbz%2BkPE&guests=1&adults=1;4;1;2;1;Entire home;250;Anca;8;5.0;Brasov, Romania;4567297;2560221
Urban Village Bungalow 1;https://www.airbnb.com.ro/rooms/41769506?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&previous_page_section_name=1000&federated_search_id=96fbd9ab-c0ed-43d2-8378-1d31d2469fd3;2;1;2;6;Entire home;190;Toth;1;0;Brasov, Romania;456419;255912
Urban Village Bungalow 2;https://www.airbnb.com/rooms/41846652?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;2;1;2;6;Entire home;227;Toth;4;;Brasov, Romania;456419;255912
Urban Village Bungalow 2;https://www.airbnb.com.ro/rooms/41846652?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588065824_P3Af9KCIgvKuLkNh&guests=1&adults=1;2;1;2;6;Entire home;190;Toth;3;5.0;Brasov, Romania;456419;255912
VfB bebe;https://www.airbnb.com.ro/rooms/39540639?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588140551_GBLcyqofOp6X8OLC&guests=1&adults=1;3;1;1;1;Entire home;115;Ellis;0;0;Brasov, Romania;4564383;255952
Victor Apartament;https://www.airbnb.com.ro/rooms/38967787?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588061337_kByAA4tPXulOWzL4;3;1;2;1;Entire home;160;Corsatea;7;5.0;Brasov, Romania;4567209;2560881
Vila Adrian, Fantasy apartament;https://www.airbnb.com.ro/rooms/31365963?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588244822_qGNMn9Z0zTT%2FANEo&guests=1&adults=1;6;2;3;1;Entire home;300;Lia;10;4.60;Brasov, Romania;4563607;2558379
Vila Paul Dream Room Medieval Historical Center;https://www.airbnb.com.ro/rooms/20315470?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588231073_R8bpHwrejkEGEpjr&guests=1&adults=1;3;1;2;1;Private room in apartament;114;Radu;111;4.95;Brasov, Romania;45638;25578
Vila Paul Medieval Historical Centre;https://www.airbnb.com.ro/rooms/19429657?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588066701_Z6qkSymiBNE3T3gH&guests=1&adults=1;8;3;5;1;Entire home;367;Radu;91;4.90;Brasov, Romania;45638;25578
Vintage 1 Brasov;https://www.airbnb.com.ro/rooms/18446201?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588142164_1BXHisCes9jFhbP5;2;1;1;1;Entire home;140;Claudia;28;4.64;Brasov, Romania;4564814;2559946
Vintage stylish cozy house;https://www.airbnb.com.ro/rooms/41096334?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588083691_G9bm3DfRiHW23ged&guests=1&adults=1;3;1;2;1;Entire home;150;Triandafil;4;4.76;Brasov, Romania;4564606;2562897
Voya  Apartaments - a luxury oasis in the old town;https://www.airbnb.com.ro/rooms/38821577?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588066157_UHBFzjOGGAVffLKK;4;1;2;1;Entire home;320;Georgiana Anca;18;5.0;Brasov, Romania;45649;25588
VOYA NORDIC Apartment-luxury oasis in the old town;https://www.airbnb.com.ro/rooms/40033416?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588244690_4uOgfaFJX3dHT13j&guests=1&adults=1;4;1;2;1;Entire home;346;Georgiana Anca;10;5.0;Brasov, Romania;45649;25588
Wooden House surrounded by squirrels;https://www.airbnb.com.ro/rooms/42419247?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&previous_page_section_name=1000&federated_search_id=96fbd9ab-c0ed-43d2-8378-1d31d2469fd3;8;2;4;1;Entire home;425;Andrei Serban;3;5.0;Brasov, Romania;4564341;2557625
ZEN HOUSE centre of Bv;https://www.airbnb.com.ro/rooms/42726300?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&previous_page_section_name=1000&federated_search_id=eed091b9-2000-44bc-98fc-33593b4e4b5b;6;2;0;2;Entire home;439;Vartej;1;0;Brasov, Romania;456394;2558782
Zen 1;https://www.airbnb.com.ro/rooms/41489971?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588233871_4NwUU6MxWAxeVjmX&guests=1&adults=1;4;1;2;1;Entire home;200;Alin;28;4.75;Brasov, Romania;4563889;2558947
Zoom Room 102 Old Town Center;https://www.airbnb.com.ro/rooms/41105469?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588161309_0ucEGIHOn11GZdAX&guests=1&adults=1;2;1;1;1;Private room in apartament;350;Ionut;5;5.0;Brasov, Romania;4564219;2559279
Zoom Room 104 Old Town Center;https://www.airbnb.com.ro/rooms/41105712?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158142_dFln8DZZm7zRCqZk&guests=1&adults=1;2;1;1;1;Entire home;239;Ionut;1;0;Brasov, Romania;4564219;2559279
Zsizelle Residence;https://www.airbnb.com.ro/rooms/36500195?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588232718_Wt8OS3HGVBmIz0Mv&guests=1&adults=1;4;1;2;1;Entire home;99;Gyongyi;30;4.87;Brasov, Romania;456559;2559361
